"identical alleles","total genome-wide SNVs","strain1","strain2"
77591,1625265,"NIC1180","QG3802"
60928,1620217,"NIC1180","QG3803"
69185,1637201,"NIC1180","QG3805"
78111,1638870,"NIC1180","QG3807"
53484,1630040,"NIC1180","QG3808"
85131,1631811,"NIC1180","QG3809"
67641,1610524,"NIC1180","QG3811"
47467,1646807,"NIC1180","QG3812"
68399,1625740,"NIC1180","QG3814"
75473,1624464,"NIC1180","QG3817"
87967,1625849,"NIC1180","QG3818"
55105,1657597,"NIC1180","QG3821"
66504,1644092,"NIC1180","QG3824"
55295,1631469,"NIC1180","QG3828"
89595,1649620,"NIC1180","QG3829"
62454,1632630,"NIC1180","QG3831"
67625,1617863,"NIC1180","QG3833"
48238,1615313,"NIC1180","QG3834"
74273,1606160,"NIC1180","QG3835"
74586,1615743,"NIC1180","QG3836"
77016,1621328,"NIC1180","QG3838"
59623,1649011,"NIC1180","QG3839"
47965,1602783,"NIC1180","QG3843"
67917,1617536,"NIC1180","QG3844"
69161,1629119,"NIC1180","QG3845"
82021,1612467,"NIC1180","QG3846"
69317,1638505,"NIC1180","QG3847"
83292,1627912,"NIC1180","QG3848"
81116,1620021,"NIC1180","QG3849"
59268,1629455,"NIC1180","QG3850"
64838,1625921,"NIC1180","QG3852"
61648,1631199,"NIC1180","QG3853"
77568,1636386,"NIC1180","QG3854"
87643,1626086,"NIC1180","QG3855"
88702,1639900,"NIC1180","QG3856"
87335,1621963,"NIC1180","QG3857"
75708,1609914,"NIC1180","QG3859"
77282,1626167,"NIC1180","QG3860"
66049,1622897,"NIC1180","QG3862"
67581,1611720,"NIC1180","QG3863"
46275,1612115,"NIC1180","QG3868"
78218,1636674,"NIC1180","QG3869"
79484,1651982,"NIC1180","QG3871"
83722,1623591,"NIC1180","QG3872"
47815,1654941,"NIC1180","QG3873"
99440,1643580,"NIC1180","QG3877"
102411,1605631,"NIC1180","QG3880"
169301,1603042,"NIC1180","QG4629"
166874,1592654,"NIC1180","QG4641"
152453,1599364,"NIC1180","QG4646"
149377,1604511,"NIC1180","QG4653"
148723,1617315,"NIC1180","QG4659"
168249,1603777,"NIC1180","QG4669"
159276,1593653,"NIC1180","QG4671"
166617,1600743,"NIC1180","QG4672"
168394,1604403,"NIC1180","QG4694"
175186,1602725,"NIC1180","QG4695"
168386,1605208,"NIC1180","QG4696"
182566,1590709,"NIC1180","QG4702"
161660,1599069,"NIC1180","QG4713"
168824,1600975,"NIC1180","QG4714"
168393,1599155,"NIC1180","QG4730"
185463,1607152,"NIC1180","QG4739"
172882,1601946,"NIC1180","QG4740"
161587,1595158,"NIC1180","QG4741"
160537,1598270,"NIC1180","QG4754"
181987,1595666,"NIC1180","QG4759"
159898,1595647,"NIC1180","QG4779"
184994,1605244,"NIC1180","QG4780"
188114,1601343,"NIC1180","QG4781"
154594,1608226,"NIC1180","QG4782"
185187,1600252,"NIC1180","QG4817"
183390,1594219,"NIC1180","QG4824"
174217,1596687,"NIC1180","QG4866"
92228,1512088,"NIC1180","QG4867"
153948,1606976,"NIC1180","QG4868"
154295,1608345,"NIC1180","QG4869"
170683,1592909,"NIC1180","QG4870"
170699,1595407,"NIC1180","QG4871"
170211,1602661,"NIC1180","QG4878"
147244,1610090,"NIC1180","QG4891"
171347,1596646,"NIC1180","QG4892"
168046,1598204,"NIC1180","QG4893"
167819,1597980,"NIC1180","QG4894"
147628,1611229,"NIC1180","QG4897"
168644,1600068,"NIC1180","QG4904"
167118,1593981,"NIC1180","QG4910"
183021,1598727,"NIC1180","QG5104"
166844,1594522,"NIC1180","QG5159"
167944,1598875,"NIC1180","QG5160"
172936,1598554,"NIC1180","QG5161"
163117,1330730,"NIC1180","QG5220"
165296,1368996,"NIC1180","QG5237"
167705,1597581,"NIC1180","QG5256"
168575,1599612,"NIC1180","QG5260"
176181,1604187,"NIC1180","QG5262"
152474,1359894,"NIC1180","QG5305"
167391,1275377,"NIC1180","QG5319"
152480,1266205,"NIC1180","QG5364"
160728,1599166,"NIC1180","QG5365"
161924,1603746,"NIC1180","QG5366"
137470,1547187,"NIC1180","QG5405"
126802,1518956,"NIC1180","QG5502"
179646,1307881,"NIC1180","QG5503"
92386,1510716,"NIC1180","QG5510"
162196,1603732,"NIC1180","QG5550"
136913,1545419,"NIC1180","QG5551"
154225,1314864,"NIC1180","QG5552"
128423,1525716,"NIC1180","QG5576"
175304,1604389,"NIC1180","QG5588"
162111,1600626,"NIC1180","QG5602"
161955,1600804,"NIC1180","QG5628"
163333,1609576,"NIC1180","QG5629"
162390,1603926,"NIC1180","QG5638"
169616,1598423,"NIC1180","QG5643"
157789,1609272,"NIC1180","QG5650"
171870,1610783,"NIC1180","QG5652"
185911,1600510,"NIC1180","QG5654"
149489,1603057,"NIC1180","QG5655"
67081,1649000,"NIC1180","QG800"
67259,1648240,"NIC1180","QG801"
108779,1630610,"NIC1180","QG820"
109569,1632519,"NIC1180","QG823"
80264,1643341,"NIC1180","QG834"
77771,1606690,"NIC1180","QG835"
80072,1641750,"NIC1180","QG836"
80458,1640781,"NIC1180","QG837"
79899,1635988,"NIC1180","QG838"
80162,1636702,"NIC1180","QG839"
80642,1653502,"NIC1180","QG840"
93476,1639744,"NIC1180","QG841"
92151,1625316,"NIC1180","QG842"
93209,1637664,"NIC1180","QG843"
79922,1634522,"NIC1180","QG844"
80011,1639536,"NIC1180","QG845"
63891,1620912,"NIC1180","QG846"
63835,1617039,"NIC1180","QG847"
64958,1637463,"NIC1180","QG848"
55961,1627193,"NIC1180","QG849"
56661,1645095,"NIC1180","QG850"
78752,1622501,"NIC1180","QG851"
57868,1643817,"NIC1180","QG852"
98892,1637398,"NIC1180","QG853"
84127,1633822,"NIC1180","QG921"
56921,1642484,"NIC1180","QG935"
82228,1636335,"NIC1180","QG942"
64424,1632181,"NIC1180","QG981"
67564,1637609,"NIC1180","QG987"
139972,1605090,"NIC1180","TWN2103"
38251,1665222,"NIC1181","NIC1187"
38234,1665626,"NIC1181","NIC1188"
43751,1665160,"NIC1181","NIC1192"
59388,1648640,"NIC1181","NIC1193"
78956,1645693,"NIC1181","NIC120"
68345,1641663,"NIC1181","NIC121"
186860,1592982,"NIC1181","NIC122"
68687,1655628,"NIC1181","NIC124"
79167,1652077,"NIC1181","NIC125"
37272,1660486,"NIC1181","NIC1252"
75748,1656717,"NIC1181","NIC1254"
48862,1660432,"NIC1181","NIC1257"
70853,1651212,"NIC1181","NIC1268"
55018,1662989,"NIC1181","NIC1270"
55870,1627948,"NIC1181","NIC1272"
59542,1643599,"NIC1181","NIC1275"
67596,1661259,"NIC1181","NIC1276"
71592,1662444,"NIC1181","NIC1277"
56639,1653324,"NIC1181","NIC1278"
67483,1614102,"NIC1181","NIC1282"
68413,1631269,"NIC1181","NIC1284"
86312,1622379,"NIC1181","NIC1285"
74907,1638214,"NIC1181","NIC129"
37159,1661770,"NIC1181","NIC1290"
87803,1643592,"NIC1181","NIC1293"
86135,1618908,"NIC1181","NIC1294"
73273,1633342,"NIC1181","NIC1299"
74452,1655944,"NIC1181","NIC1300"
88367,1649060,"NIC1181","NIC1301"
86979,1636858,"NIC1181","NIC1305"
70826,1652585,"NIC1181","NIC1307"
63004,1661604,"NIC1181","NIC1309"
66438,1659036,"NIC1181","NIC1313"
64917,1627543,"NIC1181","NIC1315"
66365,1657794,"NIC1181","NIC1316"
53973,1646671,"NIC1181","NIC1317"
71833,1655036,"NIC1181","NIC1321"
54503,1657428,"NIC1181","NIC1323"
52567,1662910,"NIC1181","NIC1328"
76459,1624919,"NIC1181","NIC1335"
73224,1637308,"NIC1181","NIC1337"
67873,1650009,"NIC1181","NIC1338"
55977,1655905,"NIC1181","NIC1341"
44838,1632570,"NIC1181","NIC1342"
79252,1644594,"NIC1181","NIC1343"
65475,1655383,"NIC1181","NIC1344"
62149,1656872,"NIC1181","NIC1348"
71678,1653384,"NIC1181","NIC1354"
45133,1657314,"NIC1181","NIC1355"
65029,1661907,"NIC1181","NIC1359"
74086,1663223,"NIC1181","NIC1363"
58889,1656587,"NIC1181","NIC1368"
87037,1655789,"NIC1181","NIC1370"
85281,1637839,"NIC1181","NIC1371"
86726,1656811,"NIC1181","NIC1372"
62040,1656350,"NIC1181","NIC1376"
62264,1654666,"NIC1181","NIC1378"
84375,1614622,"NIC1181","NIC1380"
59320,1661534,"NIC1181","NIC1381"
46049,1660810,"NIC1181","NIC1382"
92586,1654589,"NIC1181","NIC1383"
66828,1656908,"NIC1181","NIC1384"
55916,1654733,"NIC1181","NIC1386"
63355,1659933,"NIC1181","NIC1387"
55061,1609409,"NIC1181","NIC1388"
67068,1648595,"NIC1181","NIC1389"
67624,1658302,"NIC1181","NIC1391"
64052,1662728,"NIC1181","NIC1392"
46621,1658540,"NIC1181","NIC1393"
69538,1633935,"NIC1181","NIC1395"
67623,1622321,"NIC1181","NIC1397"
68935,1659338,"NIC1181","NIC1400"
69465,1643934,"NIC1181","NIC1404"
61528,1665522,"NIC1181","NIC1405"
84783,1649965,"NIC1181","NIC1408"
69930,1647795,"NIC1181","NIC1409"
70051,1648027,"NIC1181","NIC1410"
82981,1654342,"NIC1181","NIC1411"
66370,1659659,"NIC1181","NIC1415"
66532,1659773,"NIC1181","NIC1417"
74688,1650420,"NIC1181","NIC1419"
88867,1656704,"NIC1181","NIC1420"
74708,1655078,"NIC1181","NIC1422"
73294,1658001,"NIC1181","NIC1425"
49349,1659822,"NIC1181","NIC1430"
45783,1638043,"NIC1181","NIC1432"
62183,1658814,"NIC1181","NIC1433"
70994,1577926,"NIC1181","NIC1434"
45909,1655248,"NIC1181","NIC1436"
78711,1651158,"NIC1181","NIC1438"
46043,1657984,"NIC1181","NIC1447"
66439,1660546,"NIC1181","NIC1453"
78675,1651116,"NIC1181","NIC1467"
72030,1652097,"NIC1181","NIC1470"
72075,1651730,"NIC1181","NIC1471"
71966,1650500,"NIC1181","NIC1472"
71957,1651023,"NIC1181","NIC1473"
71114,1638828,"NIC1181","NIC1474"
62581,1654879,"NIC1181","NIC1475"
65418,1660313,"NIC1181","NIC1476"
63176,1668964,"NIC1181","NIC1477"
62510,1661259,"NIC1181","NIC1478"
48600,1657564,"NIC1181","NIC1509"
77357,1647988,"NIC1181","NIC1514"
286877,1563256,"NIC1181","NIC1526"
286547,1564768,"NIC1181","NIC1531"
279525,1530708,"NIC1181","NIC1534"
158973,1607588,"NIC1181","NIC1541"
156984,1598247,"NIC1181","NIC1542"
139928,1591764,"NIC1181","NIC1543"
155866,1589970,"NIC1181","NIC1544"
155281,1586511,"NIC1181","NIC1545"
155052,1587760,"NIC1181","NIC1546"
143660,1610964,"NIC1181","NIC1547"
160196,1613249,"NIC1181","NIC1548"
160715,1613370,"NIC1181","NIC1549"
155910,1593761,"NIC1181","NIC1550"
158951,1612230,"NIC1181","NIC1551"
153758,1571597,"NIC1181","NIC1553"
147313,1612274,"NIC1181","NIC1555"
148410,1608995,"NIC1181","NIC1556"
161363,1614810,"NIC1181","NIC1557"
159415,1608920,"NIC1181","NIC1558"
142398,1606413,"NIC1181","NIC1559"
142406,1574557,"NIC1181","NIC1560"
151434,1560261,"NIC1181","NIC1561"
179021,1595613,"NIC1181","NIC1563"
154940,1585613,"NIC1181","NIC1564"
134047,1576390,"NIC1181","NIC1565"
139275,1601601,"NIC1181","NIC1583"
136724,1590033,"NIC1181","NIC1584"
135669,1583945,"NIC1181","NIC1585"
139054,1600714,"NIC1181","NIC1586"
138522,1590272,"NIC1181","NIC1587"
138775,1590657,"NIC1181","NIC1588"
205934,1587827,"NIC1181","NIC1592"
206784,1595166,"NIC1181","NIC1594"
138443,1598187,"NIC1181","NIC1596"
139159,1602251,"NIC1181","NIC1603"
161435,1615358,"NIC1181","NIC1644"
158000,1603187,"NIC1181","NIC1646"
157294,1596138,"NIC1181","NIC1647"
160525,1612470,"NIC1181","NIC1648"
160390,1612317,"NIC1181","NIC1649"
155545,1590108,"NIC1181","NIC1650"
145224,1598965,"NIC1181","NIC1651"
143439,1608968,"NIC1181","NIC1653"
169913,1606763,"NIC1181","NIC1656"
167170,1598016,"NIC1181","NIC1657"
137828,1595882,"NIC1181","NIC1658"
400450,1549855,"NIC1181","NIC1679"
146537,1603233,"NIC1181","NIC1694"
67986,1637951,"NIC1181","NIC1837"
68577,1648205,"NIC1181","NIC1846"
68424,1645890,"NIC1181","NIC1848"
94092,1618608,"NIC1181","NIC1851"
134322,1601458,"NIC1181","NIC1855"
106620,1636653,"NIC1181","NIC1856"
81975,1632838,"NIC1181","NIC1862"
88258,1639941,"NIC1181","NIC1877"
88116,1640608,"NIC1181","NIC1878"
82455,1635924,"NIC1181","NIC1879"
96821,1622917,"NIC1181","NIC1881"
107525,1612574,"NIC1181","NIC1886"
125457,1610013,"NIC1181","NIC1911"
90813,1636614,"NIC1181","NIC1912"
94131,1619235,"NIC1181","NIC1913"
86307,1631914,"NIC1181","NIC1914"
153292,1568526,"NIC1181","NIC1915"
155168,1580619,"NIC1181","NIC1916"
135169,1592436,"NIC1181","NIC1917"
155590,1581480,"NIC1181","NIC1918"
154918,1575056,"NIC1181","NIC1919"
185590,1589856,"NIC1181","NIC192"
92639,1608528,"NIC1181","NIC1927"
104126,1615294,"NIC1181","NIC1928"
102894,1613236,"NIC1181","NIC1929"
44206,1658943,"NIC1181","NIC193"
102004,1606855,"NIC1181","NIC1930"
130044,1577806,"NIC1181","NIC1938"
133268,1608279,"NIC1181","NIC1939"
105659,1619154,"NIC1181","NIC1940"
105978,1627520,"NIC1181","NIC1941"
109737,1617344,"NIC1181","NIC1950"
87572,1632435,"NIC1181","NIC1960"
87383,1629722,"NIC1181","NIC1961"
105682,1602234,"NIC1181","NIC1962"
97403,1622553,"NIC1181","NIC1976"
40847,1653839,"NIC1181","NIC203"
54352,1657693,"NIC1181","NIC2355"
73243,1658584,"NIC1181","NIC2357"
67050,1650750,"NIC1181","NIC2360"
97073,1647569,"NIC1181","NIC2361"
47669,1652034,"NIC1181","NIC2362"
61296,1653469,"NIC1181","NIC2363"
71926,1646406,"NIC1181","NIC2364"
72834,1652904,"NIC1181","NIC2365"
64796,1657100,"NIC1181","NIC2366"
71383,1652359,"NIC1181","NIC2367"
73228,1657797,"NIC1181","NIC2368"
70671,1646164,"NIC1181","NIC2370"
70913,1654204,"NIC1181","NIC2371"
54495,1655037,"NIC1181","NIC2373"
67137,1649636,"NIC1181","NIC2375"
81257,1654020,"NIC1181","NIC245"
81295,1654276,"NIC1181","NIC247"
44448,1661575,"NIC1181","NIC249"
66385,1657093,"NIC1181","NIC280"
72621,1658135,"NIC1181","NIC284"
81858,1650657,"NIC1181","NIC286"
73824,1658448,"NIC1181","NIC289"
79718,1652307,"NIC1181","NIC291"
73725,1654581,"NIC1181","NIC294"
62451,1659758,"NIC1181","NIC300"
77326,1659012,"NIC1181","NIC311"
43266,1663495,"NIC1181","NIC312"
63690,1667212,"NIC1181","NIC314"
60031,1662912,"NIC1181","NIC321"
61585,1659270,"NIC1181","NIC322"
60103,1662276,"NIC1181","NIC324"
73821,1654576,"NIC1181","NIC339"
93920,1654449,"NIC1181","NIC344"
79360,1654622,"NIC1181","NIC350"
37437,1670284,"NIC1181","NIC354"
47714,1669735,"NIC1181","NIC359"
63358,1649156,"NIC1181","NIC363"
75489,1656482,"NIC1181","NIC365"
76826,1660567,"NIC1181","NIC372"
60994,1648408,"NIC1181","NIC374"
79982,1645543,"NIC1181","NIC375"
67355,1631939,"NIC1181","NIC378"
52309,1646629,"NIC1181","NIC380"
73602,1637959,"NIC1181","NIC382"
80616,1657376,"NIC1181","NIC383"
43293,1643567,"NIC1181","NIC384"
61473,1658599,"NIC1181","NIC387"
68642,1647795,"NIC1181","NIC389"
61228,1656724,"NIC1181","NIC390"
70186,1650094,"NIC1181","NIC391"
41491,1665488,"NIC1181","NIC393"
74893,1661375,"NIC1181","NIC396"
74536,1655090,"NIC1181","NIC403"
74761,1656092,"NIC1181","NIC404"
74336,1653863,"NIC1181","NIC405"
65133,1655803,"NIC1181","NIC407"
63402,1651209,"NIC1181","NIC408"
74630,1655748,"NIC1181","NIC409"
51152,1658485,"NIC1181","NIC413"
80544,1658125,"NIC1181","NIC416"
61765,1653627,"NIC1181","NIC417"
71450,1654980,"NIC1181","NIC420"
56942,1662525,"NIC1181","NIC422"
76287,1655315,"NIC1181","NIC424"
61204,1656208,"NIC1181","NIC425"
80331,1611370,"NIC1181","NIC426"
64828,1637745,"NIC1181","NIC434"
63860,1644005,"NIC1181","NIC436"
68908,1641147,"NIC1181","NIC441"
45306,1641429,"NIC1181","NIC443"
41765,1657993,"NIC1181","NIC444"
80187,1642686,"NIC1181","NIC445"
80968,1649348,"NIC1181","NIC450"
61927,1667263,"NIC1181","NIC454"
60395,1654545,"NIC1181","NIC458"
62509,1651418,"NIC1181","NIC459"
61198,1648440,"NIC1181","NIC461"
72391,1658374,"NIC1181","NIC468"
47578,1665002,"NIC1181","NIC469"
71837,1647596,"NIC1181","NIC472"
37435,1669265,"NIC1181","NIC473"
80824,1641704,"NIC1181","NIC475"
64085,1656183,"NIC1181","NIC478"
74246,1655704,"NIC1181","NIC479"
49333,1660026,"NIC1181","NIC489"
83739,1628525,"NIC1181","NIC491"
63926,1647780,"NIC1181","NIC492"
46898,1668195,"NIC1181","NIC496"
57897,1653517,"NIC1181","NIC51"
158458,1603201,"NIC1181","NIC517"
60462,1649574,"NIC1181","NIC53"
160332,1614149,"NIC1181","NIC530"
75412,1652006,"NIC1181","NIC533"
83666,1643756,"NIC1181","NIC535"
83500,1642067,"NIC1181","NIC536"
82552,1638016,"NIC1181","NIC540"
76036,1647835,"NIC1181","NIC547"
61250,1648789,"NIC1181","NIC55"
87636,1628772,"NIC1181","NIC550"
87990,1635080,"NIC1181","NIC551"
60265,1655196,"NIC1181","NIC56"
75808,1642703,"NIC1181","NIC563"
155695,1584531,"NIC1181","NIC567"
79408,1649145,"NIC1181","NIC568"
53098,1655566,"NIC1181","NIC57"
126072,1628501,"NIC1181","NIC570"
128660,1613232,"NIC1181","NIC571"
126557,1601613,"NIC1181","NIC572"
129132,1614411,"NIC1181","NIC573"
78404,1637972,"NIC1181","NIC575"
79249,1647784,"NIC1181","NIC577"
78432,1638793,"NIC1181","NIC579"
64972,1670010,"NIC1181","NIC58"
76040,1649745,"NIC1181","NIC580"
75123,1609756,"NIC1181","NIC581"
159013,1597428,"NIC1181","NIC584"
79291,1648992,"NIC1181","NIC585"
147565,1598022,"NIC1181","NIC586"
79142,1648345,"NIC1181","NIC587"
76311,1650723,"NIC1181","NIC588"
76011,1649897,"NIC1181","NIC589"
78343,1650691,"NIC1181","NIC591"
128897,1612760,"NIC1181","NIC592"
76113,1649833,"NIC1181","NIC594"
78881,1638681,"NIC1181","NIC598"
75478,1623026,"NIC1181","NIC746"
159035,1598860,"NIC1181","NIC747"
83921,1641676,"NIC1181","NIC748"
83642,1632910,"NIC1181","NIC749"
78285,1634415,"NIC1181","NIC750"
71834,1650932,"NIC1181","NIC751"
73181,1633579,"NIC1181","NIC752"
73505,1637752,"NIC1181","NIC753"
123658,1614366,"NIC1181","NIC761"
71597,1650083,"NIC1181","NIC763"
98602,1632703,"NIC1181","NIC773"
74960,1652097,"NIC1181","NIC775"
53165,1665561,"NIC1181","NIC85"
148585,1600403,"NIC1181","NIC894"
148042,1597333,"NIC1181","NIC895"
151099,1604934,"NIC1181","NIC898"
57792,1650464,"NIC1181","NIC90"
64093,1654148,"NIC1181","NIC903"
71531,1653591,"NIC1181","NIC904"
89155,1651981,"NIC1181","NIC905"
44500,1662715,"NIC1181","NIC907"
76542,1656382,"NIC1181","NIC908"
56216,1642880,"NIC1181","NIC909"
74810,1649035,"NIC1181","NIC91"
87018,1652558,"NIC1181","NIC912"
44439,1659816,"NIC1181","NIC913"
83643,1649240,"NIC1181","NIC915"
73342,1656235,"NIC1181","NIC916"
62406,1657752,"NIC1181","NIC917"
71749,1654131,"NIC1181","NIC920"
70229,1648934,"NIC1181","NIC923"
52547,1647348,"NIC1181","NIC925"
76303,1648049,"NIC1181","NIC926"
49480,1660265,"NIC1181","NIC927"
43985,1662672,"NIC1181","NIC929"
75769,1651392,"NIC1181","NIC932"
50944,1662421,"NIC1181","NIC933"
67702,1656780,"NIC1181","NIC934"
71017,1659491,"NIC1181","NIC936"
80584,1657400,"NIC1181","NIC938"
54897,1656835,"NIC1181","NIC939"
59609,1657295,"NIC1181","NIC94"
65481,1662930,"NIC1181","NIC940"
62389,1659680,"NIC1181","NIC941"
59174,1658135,"NIC1181","NIC942"
83894,1654198,"NIC1181","NIC943"
70665,1646754,"NIC1181","NIC944"
84257,1654267,"NIC1181","NIC945"
84187,1655070,"NIC1181","NIC946"
74885,1662277,"NIC1181","NIC947"
87362,1655750,"NIC1181","NIC948"
84232,1654853,"NIC1181","NIC950"
98715,1650855,"NIC1181","NIC951"
60895,1661060,"NIC1181","NIC952"
99130,1654989,"NIC1181","NIC953"
52778,1663355,"NIC1181","NIC955"
76253,1656831,"NIC1181","NIC956"
71634,1655096,"NIC1181","NIC957"
63783,1653775,"NIC1181","NIC958"
81139,1656807,"NIC1181","NIC959"
83978,1653745,"NIC1181","NIC960"
80463,1648920,"NIC1181","NIC961"
60855,1636570,"NIC1181","NIC962"
79773,1651793,"NIC1181","NIC964"
78651,1655503,"NIC1181","NIC965"
58077,1639426,"NIC1181","NIC967"
63931,1653740,"NIC1181","NIC969"
72990,1653515,"NIC1181","NIC970"
68680,1653058,"NIC1181","NIC972"
63099,1655193,"NIC1181","NIC975"
63312,1654763,"NIC1181","NIC976"
63262,1655743,"NIC1181","NIC977"
78912,1657820,"NIC1181","NIC980"
67568,1654707,"NIC1181","NIC983"
85553,1649274,"NIC1181","NIC986"
73183,1659406,"NIC1181","NIC987"
73084,1658913,"NIC1181","NIC988"
63941,1660002,"NIC1181","NIC989"
64919,1669274,"NIC1181","NIC99"
65610,1656793,"NIC1181","NIC993"
89852,1655127,"NIC1181","NIC994"
62843,1646688,"NIC1181","NIC999"
60952,1641818,"NIC1181","QG1000"
79312,1643045,"NIC1181","QG1004"
185944,1587157,"NIC1181","QG131"
73050,1639028,"NIC1181","QG2697"
72836,1634143,"NIC1181","QG2699"
79861,1651733,"NIC1181","QG2716"
79337,1647035,"NIC1181","QG2720"
78718,1638394,"NIC1181","QG2724"
78685,1638401,"NIC1181","QG2725"
73273,1639820,"NIC1181","QG2726"
73079,1635353,"NIC1181","QG2727"
73296,1638531,"NIC1181","QG2733"
73578,1631158,"NIC1181","QG2747"
71531,1603154,"NIC1181","QG2748"
74810,1639723,"NIC1181","QG2749"
72822,1635317,"NIC1181","QG2755"
74970,1642829,"NIC1181","QG2770"
72793,1626105,"NIC1181","QG2771"
75010,1642516,"NIC1181","QG2772"
74400,1638946,"NIC1181","QG2773"
199697,1584432,"NIC1181","QG2896"
200387,1587651,"NIC1181","QG2897"
199916,1584673,"NIC1181","QG2898"
195174,1588968,"NIC1181","QG2899"
200200,1586991,"NIC1181","QG2904"
199279,1582573,"NIC1181","QG2905"
79066,1638599,"NIC1181","QG3008"
79499,1637121,"NIC1181","QG3009"
72684,1634855,"NIC1181","QG3010"
72633,1624663,"NIC1181","QG3011"
66424,1641486,"NIC1181","QG3013"
57852,1627399,"NIC1181","QG3024"
72890,1629738,"NIC1181","QG3036"
73102,1633419,"NIC1181","QG3037"
72957,1630539,"NIC1181","QG3038"
87833,1638252,"NIC1181","QG3055"
81418,1636085,"NIC1181","QG3064"
80636,1644558,"NIC1181","QG3514"
70219,1605689,"NIC1181","QG3520"
70255,1641109,"NIC1181","QG3521"
48468,1645333,"NIC1181","QG3522"
90432,1638295,"NIC1181","QG3523"
72844,1635759,"NIC1181","QG3526"
64701,1626651,"NIC1181","QG3529"
92867,1624575,"NIC1181","QG3533"
58497,1640808,"NIC1181","QG3535"
70498,1618668,"NIC1181","QG3539"
64089,1634149,"NIC1181","QG3543"
79272,1609039,"NIC1181","QG3545"
56902,1624762,"NIC1181","QG3546"
73699,1645877,"NIC1181","QG3547"
71727,1622343,"NIC1181","QG3548"
72676,1634880,"NIC1181","QG3549"
46641,1622113,"NIC1181","QG3782"
51497,1637128,"NIC1181","QG3785"
59815,1631312,"NIC1181","QG3786"
62600,1634587,"NIC1181","QG3789"
93040,1633300,"NIC1181","QG3790"
97791,1618487,"NIC1181","QG3791"
75641,1615257,"NIC1181","QG3792"
54743,1645144,"NIC1181","QG3793"
73679,1626971,"NIC1181","QG3795"
59734,1627554,"NIC1181","QG3797"
80160,1631024,"NIC1181","QG3799"
52624,1630199,"NIC1181","QG3800"
90553,1620115,"NIC1181","QG3802"
46593,1622315,"NIC1181","QG3803"
65712,1635465,"NIC1181","QG3805"
59599,1641836,"NIC1181","QG3807"
52320,1627412,"NIC1181","QG3808"
89407,1627177,"NIC1181","QG3809"
56804,1611172,"NIC1181","QG3811"
68505,1639835,"NIC1181","QG3812"
64860,1623945,"NIC1181","QG3814"
70810,1624279,"NIC1181","QG3817"
76401,1624966,"NIC1181","QG3818"
60522,1653945,"NIC1181","QG3821"
68598,1640407,"NIC1181","QG3824"
56589,1626765,"NIC1181","QG3828"
79282,1647108,"NIC1181","QG3829"
48007,1634760,"NIC1181","QG3831"
64215,1616270,"NIC1181","QG3833"
47956,1611867,"NIC1181","QG3834"
70409,1605962,"NIC1181","QG3835"
70808,1615531,"NIC1181","QG3836"
73370,1620306,"NIC1181","QG3838"
58547,1644642,"NIC1181","QG3839"
68410,1594931,"NIC1181","QG3843"
53688,1616586,"NIC1181","QG3844"
54708,1628097,"NIC1181","QG3845"
77685,1609858,"NIC1181","QG3846"
60042,1636520,"NIC1181","QG3847"
78878,1625181,"NIC1181","QG3848"
82702,1619262,"NIC1181","QG3849"
35178,1633539,"NIC1181","QG3850"
46765,1626897,"NIC1181","QG3852"
52764,1632625,"NIC1181","QG3853"
54955,1639757,"NIC1181","QG3854"
98253,1620325,"NIC1181","QG3855"
99526,1634076,"NIC1181","QG3856"
97913,1616328,"NIC1181","QG3857"
53917,1613128,"NIC1181","QG3859"
73581,1625104,"NIC1181","QG3860"
52863,1623209,"NIC1181","QG3862"
47957,1615080,"NIC1181","QG3863"
52678,1610481,"NIC1181","QG3868"
91210,1631351,"NIC1181","QG3869"
92650,1646349,"NIC1181","QG3871"
61541,1627789,"NIC1181","QG3872"
69018,1647568,"NIC1181","QG3873"
85246,1642097,"NIC1181","QG3877"
98165,1606084,"NIC1181","QG3880"
178708,1600943,"NIC1181","QG4629"
175221,1590844,"NIC1181","QG4641"
156456,1595910,"NIC1181","QG4646"
151097,1601428,"NIC1181","QG4653"
153360,1613344,"NIC1181","QG4659"
177690,1601649,"NIC1181","QG4669"
159850,1591324,"NIC1181","QG4671"
176118,1598666,"NIC1181","QG4672"
177772,1602292,"NIC1181","QG4694"
179140,1601081,"NIC1181","QG4695"
177862,1603079,"NIC1181","QG4696"
186686,1587719,"NIC1181","QG4702"
162209,1596814,"NIC1181","QG4713"
178182,1598903,"NIC1181","QG4714"
176585,1597281,"NIC1181","QG4730"
178574,1607663,"NIC1181","QG4739"
180918,1598993,"NIC1181","QG4740"
163719,1592507,"NIC1181","QG4741"
160696,1596014,"NIC1181","QG4754"
175189,1596400,"NIC1181","QG4759"
160232,1593447,"NIC1181","QG4779"
178380,1605946,"NIC1181","QG4780"
191407,1598707,"NIC1181","QG4781"
158723,1604649,"NIC1181","QG4782"
189328,1597024,"NIC1181","QG4817"
187531,1591145,"NIC1181","QG4824"
175932,1593680,"NIC1181","QG4866"
95559,1509089,"NIC1181","QG4867"
158029,1603305,"NIC1181","QG4868"
158410,1604822,"NIC1181","QG4869"
178691,1590005,"NIC1181","QG4870"
178630,1592590,"NIC1181","QG4871"
179554,1600508,"NIC1181","QG4878"
