"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"152","NIC203","A",1e-05,0.73584,"NIC203",16.0459,-61.6262,"Caribbean","LAC"
"153","NIC938","A",1e-05,0.739068,"NIC938",4.03397,-52.67852,"South America","LAC"
"154","NIC441","A",1e-05,0.740854,"NIC441",4.08399,-52.67769,"South America","LAC"
"155","QG3856","A",1e-05,0.742411,"QG3856",10.42540556,-84.00121667,"Central America","LAC"
"156","NIC407","A",1e-05,0.743867,"NIC407",5.41418,-53.65416,"South America","LAC"
"157","NIC1188","A",1e-05,0.744946,"NIC1188",-12.88252903,-69.48456,"South America","LAC"
"158","NIC907","A",1e-05,0.749572,"NIC907",4.04842,-52.67683,"South America","LAC"
"159","NIC1679","A",1e-05,0.749933,"NIC1679",22.08922,120.84876,"Taiwan","Tw7"
"160","NIC404","A",1e-05,0.751971,"NIC404",5.41011,-53.65462,"South America","LAC"
"161","QG3789","A",1e-05,0.758827,"QG3789",10.42608333,-84.0092,"Central America","LAC"
"162","NIC1343","A",1e-05,0.75984,"NIC1343",4.048513966,-52.67673198,"South America","LAC"
"163","QG3543","A",1e-05,0.761521,"QG3543",10.42641667,-84.01201667,"Central America","LAC"
"164","NIC1382","A",1e-05,0.764769,"NIC1382",4.038440008,-52.67334703,"South America","LAC"
"165","ECA791","A",1e-05,0.765031,"ECA791",22.193317,-159.478956,"Hawaii","HC"
"166","ECA792","A",1e-05,0.765861,"ECA792",22.193317,-159.478956,"Hawaii","HC"
"167","EG5889","A",0.76759,0.76759,"EG5889",18.3,-65.8,"Caribbean","LAC"
"168","NIC1355","A",1e-05,0.768871,"NIC1355",4.057417978,-52.67890298,"South America","LAC"
"169","NIC934","A",1e-05,0.771513,"NIC934",4.04783,-52.67766,"South America","LAC"
"170","QG3843","A",1e-05,0.780933,"QG3843",10.42963,-84.00833,"Central America","LAC"
"171","QG3847","A",1e-05,0.787979,"QG3847",10.41828889,-84.00399167,"Central America","LAC"
"172","NIC1391","A",0.117827,0.788646,"NIC1391",3.596770959,-53.17791598,"South America","LAC"
"173","NIC929","A",1e-05,0.78893,"NIC929",4.04027,-52.67537,"South America","LAC"
"174","JU2505","A",1e-05,0.789349,"JU2505",10.4708,-84.6452,"Central America","LAC"
"175","NIC1137","A",1e-05,0.790439,"NIC1137",-12.872141,-69.49788203,"South America","LAC"
"176","NIC1478","A",1e-05,0.791,"NIC1478",4.086242002,-52.67756699,"South America","LAC"
"177","NIC300","A",1e-05,0.792245,"NIC300",4.08969,-52.67731,"South America","LAC"
"178","NIC989","A",1e-05,0.793089,"NIC989",4.03713,-52.67196,"South America","LAC"
"179","NIC311","A",1e-05,0.795577,"NIC311",4.09125,-52.67489,"South America","LAC"
"180","NIC85","A",1e-05,0.800604,"NIC85",4.08533,-52.6751,"South America","LAC"
"181","QG3852","A",1e-05,0.801191,"QG3852",10.41900556,-84.00699722,"Central America","LAC"
"182","NIC1914","A",0.198471,0.801269,"NIC1914",14.724882,-61.105406,"Caribbean","LAC"
"183","QG3809","A",1e-05,0.802216,"QG3809",10.43288,-84.00678,"Central America","LAC"
"184","NIC2363","A",1e-05,0.803829,"NIC2363",4.037193032,-52.67742399,"South America","LAC"
"185","NIC426","A",1e-05,0.807418,"NIC426",5.41125,-53.65478,"South America","LAC"
"186","JU1975","A",1e-05,0.812015,"JU1975",-2.96,-59.84,"South America","LAC"
"187","QG3523","A",1e-05,0.8127,"QG3523",10.43288,-84.00678,"Central America","LAC"
"188","QG3785","A",1e-05,0.814119,"QG3785",10.43082,-84.01138,"Central America","LAC"
"189","NIC1272","A",1e-05,0.815083,"NIC1272",3.648232995,-53.19701498,"South America","LAC"
"190","NIC1033","A",1e-05,0.815662,"NIC1033",4.03724,-52.67196,"South America","LAC"
"191","NIC1275","A",1e-05,0.817167,"NIC1275",3.643404013,-53.19835701,"South America","LAC"
"192","NIC1410","A",1e-05,0.818785,"NIC1410",3.61230799,-53.21481999,"South America","LAC"
"193","NIC1344","A",1e-05,0.819052,"NIC1344",4.055127036,-52.67816302,"South America","LAC"
